data,titulo,link
2023-09-20 10:45:00,Pauta da 10ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/590#pesquisa
2023-09-20 10:30:00,Pauta da 29ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/622#pesquisa
2023-09-19 17:17:00,Pauta da 32ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/565#pesquisa
2023-09-13 16:30:00,Pauta da 8ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/654#pesquisa
2023-09-13 10:00:00,Pauta da 11ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/643#pesquisa
2023-09-13 09:45:00,Pauta da 9ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/589#pesquisa
2023-09-13 09:00:00,Pauta da 28ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/621#pesquisa
2023-09-12 17:10:00,Pauta da 31ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/564#pesquisa
2023-09-05 17:05:00,Pauta da 30ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/563#pesquisa
2023-08-30 11:30:00,Pauta da 7ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/653#pesquisa
2023-08-30 11:00:00,Pauta da 10ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/642#pesquisa
2023-08-30 09:30:00,Pauta da 20ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/677#pesquisa
2023-08-30 09:00:00,Pauta da 27ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/620#pesquisa
2023-08-29 17:10:00,Pauta da 29ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/562#pesquisa
2023-08-23 09:30:00,Pauta da 19ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/676#pesquisa
2023-08-23 09:00:00,Pauta da 26ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/619#pesquisa
2023-08-22 14:10:00,Pauta da 28ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/561#pesquisa
2023-08-15 17:10:00,Pauta da 27ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/560#pesquisa
2023-08-09 15:00:00,Pauta da 9ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/641#pesquisa
2023-08-09 09:30:00,Pauta da 18ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/675#pesquisa
2023-08-09 09:00:00,Pauta da 25ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/618#pesquisa
2023-08-07 17:05:00,Pauta da 26ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/559#pesquisa
2023-08-02 09:30:00,Pauta da 17ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/674#pesquisa
2023-08-02 09:00:00,Pauta da 24ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/617#pesquisa
2023-08-01 17:03:00,Pauta da 25ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/558#pesquisa
2023-07-11 17:20:00,Pauta da 24ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/557#pesquisa
2023-07-05 14:00:00,Pauta da 6ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/652#pesquisa
2023-07-05 10:00:00,Pauta da 23ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/616#pesquisa
2023-07-05 09:30:00,Pauta da 16ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/673#pesquisa
2023-07-04 17:20:00,Pauta da 23ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/556#pesquisa
2023-06-28 09:30:00,Pauta da 15ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/672#pesquisa
2023-06-28 09:00:00,Pauta da 22ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/615#pesquisa
2023-06-27 17:20:00,Pauta da 22ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/555#pesquisa
2023-06-21 14:00:00,Pauta da 5ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/651#pesquisa
2023-06-21 11:30:00,Pauta da 8ª Reunião Ordinária de Comissão de 2023 - (CFO),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/588#pesquisa
2023-06-21 11:20:00,Pauta da 14ª Reunião Ordinária de Comissão de 2023 - (CSAS),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/671#pesquisa
2023-06-21 11:00:00,Pauta da 21ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/614#pesquisa
2023-06-19 17:15:00,Pauta da 21ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/554#pesquisa
2023-06-14 09:00:00,Pauta da 20ª Reunião Ordinária de Comissão de 2023 - (CLJR),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/613#pesquisa
2023-06-13 17:15:00,Pauta da 20ª Sessão Ordinária de 2023,https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/553#pesquisa
2023-06-13 16:50:00,Pauta da 8ª Reunião Ordinária de Comissão de 2023 - (COSP),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/640#pesquisa
2023-06-13 16:30:00,Pauta da 4ª Reunião Ordinária de Comissão de 2023 - (CECTE),https://www.pindamonhangaba.sp.leg.br/pautas/0/0/0/0/650#pesquisa
